man,manLabel
http://www.wikidata.org/entity/Q100538,Julius Schubring
http://www.wikidata.org/entity/Q100574,Q100574
http://www.wikidata.org/entity/Q100831,Friedrich Noack
http://www.wikidata.org/entity/Q100965,Karl Gruber
http://www.wikidata.org/entity/Q101249,Heinrich Pfeiffer
http://www.wikidata.org/entity/Q101307,Uvo Hölscher
http://www.wikidata.org/entity/Q101463,Ferdinand Franz Wallraf
http://www.wikidata.org/entity/Q101465,Adolf Rosenberg
http://www.wikidata.org/entity/Q101593,Hans-Hasso von Veltheim
http://www.wikidata.org/entity/Q101640,Robert Vischer
http://www.wikidata.org/entity/Q101671,Hans Wilhelm Hagen
http://www.wikidata.org/entity/Q101771,Gottfried Gruben
http://www.wikidata.org/entity/Q101796,Adolf Bayersdorfer
http://www.wikidata.org/entity/Q101860,Wilhelm Gottlieb Becker
http://www.wikidata.org/entity/Q101885,Nils Hellner
http://www.wikidata.org/entity/Q101952,Otto von Falke
http://www.wikidata.org/entity/Q101953,Herman Riegel
http://www.wikidata.org/entity/Q101983,Erich Everth
http://www.wikidata.org/entity/Q102022,Alwin Schultz
http://www.wikidata.org/entity/Q102233,Emil Waldmann
http://www.wikidata.org/entity/Q102257,Konrad Helbig
http://www.wikidata.org/entity/Q102340,Carl von Lemcke
http://www.wikidata.org/entity/Q102347,Heinrich Lützeler
http://www.wikidata.org/entity/Q102348,Hayo Vierck
http://www.wikidata.org/entity/Q102370,Alfred Mallwitz
http://www.wikidata.org/entity/Q102489,Paul Zucker
http://www.wikidata.org/entity/Q102533,Ludwig von Schorn
http://www.wikidata.org/entity/Q116738,Hans Ulrich Obrist
http://www.wikidata.org/entity/Q117093,Allan Marquand
http://www.wikidata.org/entity/Q118064,Heinrich Meyer
http://www.wikidata.org/entity/Q118145,Karl von Perfall
http://www.wikidata.org/entity/Q119493,Robert Forrer
http://www.wikidata.org/entity/Q119903,Ludger Fischer
http://www.wikidata.org/entity/Q120059,Hanno Hahn
http://www.wikidata.org/entity/Q120504,Markus Breitschmid
http://www.wikidata.org/entity/Q120510,Wolfgang Stechow
http://www.wikidata.org/entity/Q120945,Richard Delbrück
http://www.wikidata.org/entity/Q121319,Christian von Mechel
http://www.wikidata.org/entity/Q121492,Andreas Sternweiler
http://www.wikidata.org/entity/Q121513,Christian Ewert
http://www.wikidata.org/entity/Q121648,Johann Friedrich Christ
http://www.wikidata.org/entity/Q121858,Achim Moeller
http://www.wikidata.org/entity/Q121898,Franz Landsberger
http://www.wikidata.org/entity/Q121930,Konrad Farner
