woman,womanLabel
http://www.wikidata.org/entity/Q1337629,Emily Vermeule
http://www.wikidata.org/entity/Q1340492,Rosemarie Stratmann-Döhler
http://www.wikidata.org/entity/Q1347503,Wibke von Bonin
http://www.wikidata.org/entity/Q1350154,Lottlisa Behling
http://www.wikidata.org/entity/Q1351820,Erica Tietze-Conrat
http://www.wikidata.org/entity/Q1354552,Erika Zwierlein-Diehl
http://www.wikidata.org/entity/Q1356049,Erna Diez
http://www.wikidata.org/entity/Q1356143,Erna von Watzdorf
http://www.wikidata.org/entity/Q1361273,Irmgard Wirth
http://www.wikidata.org/entity/Q1361810,Ersilia Caetani Lovatelli
http://www.wikidata.org/entity/Q1369115,Jean M. Davison
http://www.wikidata.org/entity/Q1370020,Esther Boise Van Deman
http://www.wikidata.org/entity/Q1378965,Una H. Moehrke
http://www.wikidata.org/entity/Q1379061,Eva-Maria Höhle
http://www.wikidata.org/entity/Q1379142,Eva Börsch-Supan
http://www.wikidata.org/entity/Q1379330,Eva Mahn
http://www.wikidata.org/entity/Q1379376,Eva Meyer-Hermann
http://www.wikidata.org/entity/Q1379634,Evamaria Schmidt
http://www.wikidata.org/entity/Q1381812,Evelyn Weiss
http://www.wikidata.org/entity/Q1419920,Ingrid Krauskopf
http://www.wikidata.org/entity/Q1426687,Nicole Fritz
http://www.wikidata.org/entity/Q1440858,Petra Roettig
http://www.wikidata.org/entity/Q1450144,Franziska Lang
http://www.wikidata.org/entity/Q1452020,Karina Türr
http://www.wikidata.org/entity/Q1460371,Magdalene Söldner
http://www.wikidata.org/entity/Q1462138,Luise Straus-Ernst
http://www.wikidata.org/entity/Q1465119,Renate Goldmann
http://www.wikidata.org/entity/Q1465255,Ingeborg Meinhof
http://www.wikidata.org/entity/Q1468539,Q1468539
http://www.wikidata.org/entity/Q1469368,Q1469368
http://www.wikidata.org/entity/Q1473484,Q1473484
http://www.wikidata.org/entity/Q1488421,Gabi Dolff-Bonekämper
http://www.wikidata.org/entity/Q1490614,Gabriele Uelsberg
http://www.wikidata.org/entity/Q1496167,Sabine Haag
http://www.wikidata.org/entity/Q1498117,Sibylle Mertens-Schaaffhausen
http://www.wikidata.org/entity/Q1509285,Georgia Franzius
http://www.wikidata.org/entity/Q1510958,Gerda Breuer
http://www.wikidata.org/entity/Q1511007,Gerda Ridler
http://www.wikidata.org/entity/Q1515572,Gertrud Harms
http://www.wikidata.org/entity/Q1515593,Gertrud Kantorowicz
http://www.wikidata.org/entity/Q1515644,Gertrud Otto
http://www.wikidata.org/entity/Q1515650,Gertrud Platz
http://www.wikidata.org/entity/Q1515671,Gertrud Schiller
http://www.wikidata.org/entity/Q1527288,Gisela Burkamp
http://www.wikidata.org/entity/Q1527355,Gisela Helmecke
http://www.wikidata.org/entity/Q1527387,Gisela Kleine
http://www.wikidata.org/entity/Q1530268,Q1530268
http://www.wikidata.org/entity/Q1537065,Marina Belozerskaya
http://www.wikidata.org/entity/Q1546010,Grete Ring
http://www.wikidata.org/entity/Q1552028,Ragna Enking
http://www.wikidata.org/entity/Q1553100,Gudrun Inboden
http://www.wikidata.org/entity/Q1564030,Q1564030
http://www.wikidata.org/entity/Q1575660,Hanna Adenauer
http://www.wikidata.org/entity/Q1575688,Hanna Grisebach
http://www.wikidata.org/entity/Q1575703,Hanna Jursch
http://www.wikidata.org/entity/Q1575729,Hanna Philipp
http://www.wikidata.org/entity/Q1575795,Hannah Weitemeier
http://www.wikidata.org/entity/Q1575816,Hanne Bergius
http://www.wikidata.org/entity/Q1577710,Maja Sprenger
http://www.wikidata.org/entity/Q3491011,Sophie Mouquin
http://www.wikidata.org/entity/Q3505984,Suzanne La Follette
http://www.wikidata.org/entity/Q3507265,Sylvie Aubenas
http://www.wikidata.org/entity/Q3507294,Sylvie Béguin
http://www.wikidata.org/entity/Q3518942,Terryl Nancy Kinder
http://www.wikidata.org/entity/Q3574188,Yvonne Deslandres
http://www.wikidata.org/entity/Q3575686,Q3575686
http://www.wikidata.org/entity/Q3587864,Élisabeth Cazenave
http://www.wikidata.org/entity/Q3587884,Élisabeth Hardouin-Fugier
http://www.wikidata.org/entity/Q3587899,Élisabeth Lebovici
http://www.wikidata.org/entity/Q3617340,Angiola Maria Romanini
http://www.wikidata.org/entity/Q3617742,Anna Maria Brizio
http://www.wikidata.org/entity/Q3620464,Anty Pansera
http://www.wikidata.org/entity/Q3632740,Q3632740
http://www.wikidata.org/entity/Q3679865,Claudia Nordhoff
http://www.wikidata.org/entity/Q3679886,Claudia Salaris
http://www.wikidata.org/entity/Q3701812,Daniela Palazzoli
http://www.wikidata.org/entity/Q3721387,Elena Bassi
http://www.wikidata.org/entity/Q3721482,Elena Pontiggia
http://www.wikidata.org/entity/Q3723133,Elisa Debenedetti
http://www.wikidata.org/entity/Q3735302,Evelina Borea
http://www.wikidata.org/entity/Q3735323,Evelyn Franceschi Marini
http://www.wikidata.org/entity/Q3736343,Ezia Gavazza
http://www.wikidata.org/entity/Q3742869,Fernanda Wittgens
http://www.wikidata.org/entity/Q3766272,Giovanna Rotondi Terminiello
http://www.wikidata.org/entity/Q3798439,Ines Castellani Fantoni Benaglio
http://www.wikidata.org/entity/Q3827816,Laura Morelli
http://www.wikidata.org/entity/Q3829209,Lea Vergine
http://www.wikidata.org/entity/Q3840434,Luisa Banti
http://www.wikidata.org/entity/Q3847482,Maria Rita Silvestrelli
http://www.wikidata.org/entity/Q3847957,Marilena Pasquali
http://www.wikidata.org/entity/Q3849335,Marisa Volpi
http://www.wikidata.org/entity/Q3850467,Mary Ellen Miller
http://www.wikidata.org/entity/Q3858268,Mina Gregori
http://www.wikidata.org/entity/Q3876701,Nietta Aprà
http://www.wikidata.org/entity/Q3880310,Rhonda Roland Shearer
http://www.wikidata.org/entity/Q3892735,Palma Bucarelli
http://www.wikidata.org/entity/Q3893609,Paola Pallottino
http://www.wikidata.org/entity/Q3918371,Q3918371
http://www.wikidata.org/entity/Q3935671,Q3935671
http://www.wikidata.org/entity/Q3941595,Rossana Bossaglia
http://www.wikidata.org/entity/Q3955027,Q3955027
http://www.wikidata.org/entity/Q3972695,Alice Boner
http://www.wikidata.org/entity/Q3972910,Stella Kramrish
http://www.wikidata.org/entity/Q3993070,Toni Maraini
http://www.wikidata.org/entity/Q4007705,Valentina Moncada
http://www.wikidata.org/entity/Q4058332,Q4058332
http://www.wikidata.org/entity/Q4067411,Q4067411
http://www.wikidata.org/entity/Q4085852,Q4085852
http://www.wikidata.org/entity/Q4089877,Q4089877
http://www.wikidata.org/entity/Q4098436,Q4098436
http://www.wikidata.org/entity/Q4104767,Q4104767
http://www.wikidata.org/entity/Q4131389,Q4131389
http://www.wikidata.org/entity/Q4149352,Marta Grigorieva
http://www.wikidata.org/entity/Q4152580,Nina Gurianova
http://www.wikidata.org/entity/Q4153825,Q4153825
http://www.wikidata.org/entity/Q4164520,Q4164520
http://www.wikidata.org/entity/Q4167538,Q4167538
http://www.wikidata.org/entity/Q4171081,Q4171081
http://www.wikidata.org/entity/Q4172136,Anita Dube
http://www.wikidata.org/entity/Q4175312,Q4175312
http://www.wikidata.org/entity/Q4192885,Q4192885
http://www.wikidata.org/entity/Q4214199,Q4214199
http://www.wikidata.org/entity/Q4220431,Q4220431
http://www.wikidata.org/entity/Q4223091,Q4223091
http://www.wikidata.org/entity/Q4224946,Q4224946
http://www.wikidata.org/entity/Q4243147,Q4243147
http://www.wikidata.org/entity/Q4248547,Q4248547
http://www.wikidata.org/entity/Q4263125,Q4263125
http://www.wikidata.org/entity/Q4275412,Q4275412
http://www.wikidata.org/entity/Q4277984,Q4277984
http://www.wikidata.org/entity/Q4280340,Q4280340
http://www.wikidata.org/entity/Q4285436,Q4285436
http://www.wikidata.org/entity/Q4298949,Q4298949
http://www.wikidata.org/entity/Q4336747,Q4336747
http://www.wikidata.org/entity/Q4361145,Q4361145
http://www.wikidata.org/entity/Q4367947,Q4367947
http://www.wikidata.org/entity/Q4383262,Galina Pugachenkova
http://www.wikidata.org/entity/Q4398707,Barbara Rose
http://www.wikidata.org/entity/Q4410633,Ol'ga L'vovna Sviblova
http://www.wikidata.org/entity/Q4424823,Q4424823
http://www.wikidata.org/entity/Q4429239,Q4429239
http://www.wikidata.org/entity/Q4446792,Tatjana Suta
http://www.wikidata.org/entity/Q4455404,Sirarpie Der Nersessian
http://www.wikidata.org/entity/Q4456379,Q4456379
http://www.wikidata.org/entity/Q4515255,Q4515255
http://www.wikidata.org/entity/Q4523953,Véronique Schiltz
http://www.wikidata.org/entity/Q4523989,Beata Szymańska
http://www.wikidata.org/entity/Q4524794,Q4524794
http://www.wikidata.org/entity/Q4528566,Q4528566
http://www.wikidata.org/entity/Q4586586,Q4586586
http://www.wikidata.org/entity/Q4681872,Adele Brandeis
http://www.wikidata.org/entity/Q4681970,Adeline Pond Adams
http://www.wikidata.org/entity/Q4682105,Adelyn Dohme Breeskin
http://www.wikidata.org/entity/Q4718081,Q4718081
http://www.wikidata.org/entity/Q4727248,Alissandra Cummins
http://www.wikidata.org/entity/Q4739388,Amalia Amaki
http://www.wikidata.org/entity/Q4742274,Amelia Jones
