woman,womanLabel,citizenships
http://www.wikidata.org/entity/Q17402398,Stane Bernik,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18205796,Jasleen Dhamija,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q18245576,Myron Malkiel-Jirmounsky,Brasile/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q27994734,Karola Szalay,Ungheria/Italia/Regno d'Italia
http://www.wikidata.org/entity/Q28042722,Ernst Ullmann,Germania/Germania Est/Cecoslovacchia
http://www.wikidata.org/entity/Q52150583,Julia Wilde,Regno Unito/Regno Unito di Gran Bretagna e Irlanda/Cisleitania
http://www.wikidata.org/entity/Q18507406,Andrej Pavlovec,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18507821,Asta Znidarčič,Slovenia/Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18507920,Helena Novak,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18529476,Franc Zalar,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18604259,Jože Curk,Slovenia/Jugoslavia/Regno d'Italia
http://www.wikidata.org/entity/Q18604278,Jože Gregorič,"Impero austro-ungarico/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q18627594,Lojze Gostiša,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q83862144,Kamil Novotný,Impero austro-ungarico/Cecoslovacchia/Protettorato di Boemia e Moravia
http://www.wikidata.org/entity/Q83960977,Otto Schneid,Canada/Austria/Israele
http://www.wikidata.org/entity/Q62272416,Arevik Tserunyan,Stati Uniti d'America/Armenia/Unione Sovietica
http://www.wikidata.org/entity/Q62714778,Tatjana Pawlowna Kaschdan,Russia/Unione Sovietica/Russia sovietica
http://www.wikidata.org/entity/Q18644706,Milan Železnik,Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Federal People's Republic of Yugoslavia
http://www.wikidata.org/entity/Q18645140,Sandi Sitar,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18645165,Sergej Vrišer,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18646286,Zoran Kržišnik,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q18810707,Ernest Tristram,Galles/Regno Unito/Regno Unito di Gran Bretagna e Irlanda
http://www.wikidata.org/entity/Q28665038,Q28665038,Unione Sovietica/Impero russo/Russia sovietica
http://www.wikidata.org/entity/Q28861611,Alina Payne,Stati Uniti d'America/Regno Unito/Romania
http://www.wikidata.org/entity/Q19282175,Sadashiv Vasantrao Gorakshkar,India/Impero anglo-indiano/Dominion dell'India
http://www.wikidata.org/entity/Q65127098,Janez Mikuž,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q29358990,Boris Karpov,Francia/Russia/Unione Sovietica
http://www.wikidata.org/entity/Q29555651,Helena Kanyar Becker,Svizzera/Repubblica Ceca/Cecoslovacchia
http://www.wikidata.org/entity/Q29994231,B. V. Shaposhnikov,Repubblica Socialista Federativa Sovietica Russa/Unione Sovietica/Impero russo
http://www.wikidata.org/entity/Q65807981,France Zupan,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q65962769,Vera Baloh,"Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q65962803,Narcisa Desković-Živković,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q65962979,Marcel Gorenc,"Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q65963098,Milena Kožuh,Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia
http://www.wikidata.org/entity/Q65963152,Rajko Ložar,"Impero austro-ungarico/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
http://www.wikidata.org/entity/Q65963538,Ljerka Menaše,"Slovenia/Repubblica Socialista Federale di Jugoslavia/Regno di Jugoslavia/Regno dei Serbi, Croati e Sloveni"
